Group,Mouse_ID,Day,Fecal_MNV_RNA_log10_copies_mg,Group,Mouse_ID,Day,Body_Weight_Change_Percent,Group,Mouse_ID,IFN_gamma_pg_mg,IFN_lambda_pg_mg,IL_22_pg_mg,Group,Mouse_ID,Ileal_Pathology_Score,Serum_FITC_Dextran_ug_ml,Group,Mouse_ID,Day,Fecal_MNV_RNA_log10_copies_mg,Body_Weight_Change_Percent,IFN_gamma_pg_mg,IFN_lambda_pg_mg,IL_22_pg_mg,Ileal_Pathology_Score,Serum_FITC_Dextran_ug_ml
GF_MNV,GF_MNV_Mouse_2,7,"5,232",GF_MNV,GF_MNV_Mouse_2,7,"-9,1",SFB_Uninfected,SFB_Uninfected_Mouse_1,"12,8","19,3","27,2",SFB_MNV,SFB__MNV_1,"1,38","103,07",GF_MNV,GF_MNV_Mouse_11,3,"8,38","-14,8","1,569,561,831","5,190,827,469","3,205,748,375","2,861,062,351","1,874,994,606"
GF_MNV,GF_MNV_Mouse_2,10,"3,967",GF_MNV,GF_MNV_Mouse_2,10,"-1,9",SFB_Uninfected,SFB_Uninfected_Mouse_2,"14,3","17,2","42,9",SFB_MNV,SFB__MNV_2,"1,55","99,48",GF_MNV,GF_MNV_Mouse_12,3,"7,37","-19,22","1,556,571,274","5,819,098,758","3,767,076,217","3,040,229,516","194,070,838"
GF_MNV,GF_MNV_Mouse_3,0,0,GF_MNV,GF_MNV_Mouse_3,0,0,SFB_Uninfected,SFB_Uninfected_Mouse_3,"12,9","22,3","27,4",SFB_MNV,SFB__MNV_3,"1,66","45,73",GF_MNV,GF_MNV_Mouse_13,3,"7,12","-19,89","1,563,339,668","5,608,135,002","3,717,783,587","325,832,815","1,421,714,169"
GF_MNV,GF_MNV_Mouse_3,1,"6,388",GF_MNV,GF_MNV_Mouse_3,1,"-4,9",SFB_Uninfected,SFB_Uninfected_Mouse_4,"14,7","19,5","19,6",SFB_MNV,SFB__MNV_4,"1,36","83,71",GF_MNV,GF_MNV_Mouse_14,3,"7,71","-15,81","1,487,140,323","5,612,393,515","3,616,713,803","2,950,047,948","138,558,411"
GF_MNV,GF_MNV_Mouse_3,3,"7,001",GF_MNV,GF_MNV_Mouse_3,3,"-11,8",SFB_Uninfected,SFB_Uninfected_Mouse_5,"12,9","17,8","33,5",SFB_MNV,SFB__MNV_5,"1,29","52,93",GF_MNV,GF_MNV_Mouse_15,3,"7,77","-13,14","1,266,332,673","5,775,492,766","446,815,054","3,060,260,416","1,442,425,252"
GF_MNV,GF_MNV_Mouse_3,5,"6,407",GF_MNV,GF_MNV_Mouse_3,5,"-12,7",SFB_Uninfected,SFB_Uninfected_Mouse_6,"10,7","20,6","26,7",SFB_MNV,SFB__MNV_6,"1,26","56,75",GF_MNV,GF_MNV_Mouse_16,3,"7,92","-12,46","1,188,647,661","6,385,358,082","5,275,228,049","2,832,597,919","1,873,506,302"
GF_MNV,GF_MNV_Mouse_3,7,"4,208",GF_MNV,GF_MNV_Mouse_3,7,"-8,7",SFB_Uninfected,SFB_Uninfected_Mouse_7,11,"16,6","42,3",SFB_MNV,SFB__MNV_7,"1,44","102,75",GF_MNV,GF_MNV_Mouse_17,3,"6,92","-14,57","1,590,988,493","5,749,760,029","4,590,482,693","3,426,220,636","1,654,441,544"
GF_MNV,GF_MNV_Mouse_3,10,"1,651",GF_MNV,GF_MNV_Mouse_3,10,-4,SFB_Uninfected,SFB_Uninfected_Mouse_8,"13,6","17,2","29,9",SFB_MNV,SFB__MNV_8,"1,48","67,43",GF_MNV,GF_MNV_Mouse_18,3,"7,15","-13,19","1,520,951,221","5,947,269,033","5,192,130,997","308,097,495","1,741,270,606"
GF_MNV,GF_MNV_Mouse_4,0,0,GF_MNV,GF_MNV_Mouse_4,0,0,SFB_Uninfected,SFB_Uninfected_Mouse_9,"13,4","18,6",29,SFB_MNV,SFB__MNV_9,"1,58","86,05",GF_MNV,GF_MNV_Mouse_19,3,"8,5","-13,67","134,636,471","5,506,739,984","2,947,910,747","3,142,959,637","1,753,260,108"
GF_MNV,GF_MNV_Mouse_4,1,"5,479",GF_MNV,GF_MNV_Mouse_4,1,"-5,4",SFB_Uninfected,SFB_Uninfected_Mouse_10,"8,9","20,6","22,6",SFB_MNV,SFB__MNV_10,"1,47","94,35",GF_MNV,GF_MNV_Mouse_20,3,"7,89","-12,27","1,396,467,208","6,898,358,536","4,174,609,492","3,598,975,694","1,352,631,169"
GF_MNV,GF_MNV_Mouse_4,3,"7,098",GF_MNV,GF_MNV_Mouse_4,3,"-16,1",GF_MNV,GF_MNV_Mouse_1,"138,7","69,9","51,1",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_1,"2,71","116,65",SFB_MNV,SFB_MNV_Mouse_1,3,"5,372","-4,4",58,"184,1","73,1","1,38","103,07"
GF_MNV,GF_MNV_Mouse_4,5,"6,905",GF_MNV,GF_MNV_Mouse_4,5,"-12,9",GF_MNV,GF_MNV_Mouse_2,"141,8","56,3","46,4",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_2,"2,92","116,09",SFB_MNV,SFB_MNV_Mouse_2,3,"5,797","-6,8","65,2","184,4","127,6","1,55","99,48"
GF_MNV,GF_MNV_Mouse_4,7,"4,547",GF_MNV,GF_MNV_Mouse_4,7,"-9,8",GF_MNV,GF_MNV_Mouse_3,"136,4","42,9","47,9",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_3,"2,81","160,53",SFB_MNV,SFB_MNV_Mouse_3,3,"6,24","-4,7","78,4","174,4","125,8","1,66","45,73"
GF_MNV,GF_MNV_Mouse_4,10,"2,272",GF_MNV,GF_MNV_Mouse_4,10,"-2,5",GF_MNV,GF_MNV_Mouse_4,"140,9","58,1","42,9",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_4,"3,09","151,26",SFB_MNV,SFB_MNV_Mouse_4,3,"5,046","-5,6","67,7","236,5","144,8","1,36","83,71"
GF_MNV,GF_MNV_Mouse_5,0,0,GF_MNV,GF_MNV_Mouse_5,0,0,GF_MNV,GF_MNV_Mouse_5,"120,1","46,4","39,7",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_5,"2,92","120,52",SFB_MNV,SFB_MNV_Mouse_5,3,"5,904","-4,1","107,2","182,8","150,1","1,29","52,93"
GF_MNV,GF_MNV_Mouse_5,1,"6,539",GF_MNV,GF_MNV_Mouse_5,1,-4,GF_MNV,GF_MNV_Mouse_6,"119,7","51,7","42,3",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_6,"3,48","163,9",SFB_MNV,SFB_MNV_Mouse_6,3,"4,773","-4,1",111,"227,1","181,7","1,26","56,75"
GF_MNV,GF_MNV_Mouse_5,3,"7,801",GF_MNV,GF_MNV_Mouse_5,3,"-12,4",GF_MNV,GF_MNV_Mouse_7,"141,4","50,2","41,5",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_7,"3,44","160,59",SFB_MNV,SFB_MNV_Mouse_7,3,"5,531",-6,"75,8",228,"126,1","1,44","102,75"
GF_MNV,GF_MNV_Mouse_5,5,"6,946",GF_MNV,GF_MNV_Mouse_5,5,"-13,3",GF_MNV,GF_MNV_Mouse_8,"165,7","47,9","22,7",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_8,"3,12","175,1",SFB_MNV,SFB_MNV_Mouse_8,3,"5,403","-4,7","76,5","231,1","132,3","1,48","67,43"
GF_MNV,GF_MNV_Mouse_5,7,"4,588",GF_MNV,GF_MNV_Mouse_5,7,"-6,8",GF_MNV,GF_MNV_Mouse_9,"153,7","55,1","36,9",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_9,"3,42","139,8",SFB_MNV,SFB_MNV_Mouse_9,3,"5,704","-5,4","85,1","172,6","122,3","1,58","86,05"
GF_MNV,GF_MNV_Mouse_5,10,"5,191",GF_MNV,GF_MNV_Mouse_5,10,"-1,8",GF_MNV,GF_MNV_Mouse_10,"147,3","45,5","38,2",Ctrl_Bacteria_MNV,Ctrl_Bacteria__MNV_10,"3,09","145,08",SFB_MNV,SFB_MNV_Mouse_10,3,"6,014","-4,6","102,7","151,9","109,4","1,47","94,35"
GF_MNV,GF_MNV_Mouse_6,0,0,GF_MNV,GF_MNV_Mouse_6,0,0,SFB_MNV,SFB_MNV_Mouse_1,58,"184,1","73,1",GF_Uninfected,GF_Uninfected_1,"0,23","28,49",SFB_MNV,SFB_MNV_Mouse_11,3,"5,41","-4,52","9,458,271,368","1,432,950,966","1,380,357,938","1,568,179,926","1,187,901,278"
GF_MNV,GF_MNV_Mouse_6,1,"6,058",GF_MNV,GF_MNV_Mouse_6,1,"-4,3",SFB_MNV,SFB_MNV_Mouse_2,"65,2","184,4","127,6",GF_Uninfected,GF_Uninfected_2,"0,36","24,02",SFB_MNV,SFB_MNV_Mouse_12,3,"5,74","-0,88","9,914,863,772","1,555,332,575","1,279,407,011","1,339,920,378","8,370,864,415"
GF_MNV,GF_MNV_Mouse_6,3,"6,986",GF_MNV,GF_MNV_Mouse_6,3,"-18,8",SFB_MNV,SFB_MNV_Mouse_3,"78,4","174,4","125,8",GF_Uninfected,GF_Uninfected_3,"0,29","21,54",SFB_MNV,SFB_MNV_Mouse_13,3,"5,44","-5,85","6,795,578,437","221,527,814","1,434,835,006","1,370,943,704","6,898,160,816"
GF_MNV,GF_MNV_Mouse_6,5,"6,524",GF_MNV,GF_MNV_Mouse_6,5,"-14,6",SFB_MNV,SFB_MNV_Mouse_4,"67,7","236,5","144,8",GF_Uninfected,GF_Uninfected_4,"0,36","31,19",SFB_MNV,SFB_MNV_Mouse_14,3,"5,66","-6,78","8,649,504,791","1,755,418,907","1,271,178,269","1,416,637,619","1,004,109,285"
GF_MNV,GF_MNV_Mouse_6,7,"5,565",GF_MNV,GF_MNV_Mouse_6,7,"-9,7",SFB_MNV,SFB_MNV_Mouse_5,"107,2","182,8","150,1",GF_Uninfected,GF_Uninfected_5,"0,24","26,62",SFB_MNV,SFB_MNV_Mouse_15,3,"5,66","-2,97","8,226,000,484","1,872,816,051","1,261,864,502","1,404,978,995","729,588,817"
GF_MNV,GF_MNV_Mouse_6,10,"2,727",GF_MNV,GF_MNV_Mouse_6,10,"-2,8",SFB_MNV,SFB_MNV_Mouse_6,111,"227,1","181,7",GF_Uninfected,GF_Uninfected_6,"0,27","36,64",SFB_MNV,SFB_MNV_Mouse_16,3,"5,26","-6,5","7,920,657,539","2,235,179,578","1,566,994,365","1,307,638,432","7,813,778,915"
GF_MNV,GF_MNV_Mouse_7,0,0,GF_MNV,GF_MNV_Mouse_7,0,0,SFB_MNV,SFB_MNV_Mouse_7,"75,8",228,"126,1",GF_Uninfected,GF_Uninfected_7,"0,3","35,7",SFB_MNV,SFB_MNV_Mouse_17,3,"6,05","-5,25","8,260,989,506","1,742,817,368","1,284,559,885","1,289,672,662","11,909,427"
GF_MNV,GF_MNV_Mouse_7,1,"6,458",GF_MNV,GF_MNV_Mouse_7,1,"-4,2",SFB_MNV,SFB_MNV_Mouse_8,"76,5","231,1","132,3",GF_Uninfected,GF_Uninfected_8,"0,03","32,72",SFB_MNV,SFB_MNV_Mouse_18,3,"5,86","-6,51","116,117,728","2,032,310,525","1,596,011,096","1,478,184,873","6,459,905,753"
GF_MNV,GF_MNV_Mouse_7,3,"7,722",GF_MNV,GF_MNV_Mouse_7,3,"-15,2",SFB_MNV,SFB_MNV_Mouse_9,"85,1","172,6","122,3",GF_Uninfected,GF_Uninfected_9,"0,16","31,57",SFB_MNV,SFB_MNV_Mouse_19,3,"5,95","-3,29","100,308,967","2,126,051,868","1,274,866,051","1,606,959,118","6,992,645,166"
GF_MNV,GF_MNV_Mouse_7,5,"6,275",GF_MNV,GF_MNV_Mouse_7,5,"-9,8",SFB_MNV,SFB_MNV_Mouse_10,"102,7","151,9","109,4",GF_Uninfected,GF_Uninfected_10,"0,11","23,36",SFB_MNV,SFB_MNV_Mouse_20,3,"5,6","-7,24","5,486,719,102","2,337,982,626","1,062,547,364","132,927,887","7,276,964,124"
GF_MNV,GF_MNV_Mouse_7,7,"4,48",GF_MNV,GF_MNV_Mouse_7,7,"-9,3",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_1,"142,7","58,3","54,1",SFB_Uninfected,SFB_Uninfected_1,"0,37","26,83",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_1,3,"7,603","-14,5","142,7","58,3","54,1","2,71","116,65"
GF_MNV,GF_MNV_Mouse_7,10,"1,555",GF_MNV,GF_MNV_Mouse_7,10,"-1,5",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_2,"113,3","52,1","27,1",SFB_Uninfected,SFB_Uninfected_2,"0,21","28,64",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_2,3,"6,399","-16,6","113,3","52,1","27,1","2,92","116,09"
GF_MNV,GF_MNV_Mouse_8,0,0,GF_MNV,GF_MNV_Mouse_8,0,0,Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_3,"162,9","52,6","55,5",SFB_Uninfected,SFB_Uninfected_3,"0,37","24,5",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_3,3,"6,444",-13,"162,9","52,6","55,5","2,81","160,53"
GF_MNV,GF_MNV_Mouse_8,1,"5,988",GF_MNV,GF_MNV_Mouse_8,1,"-3,7",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_4,"180,8","48,5","58,4",SFB_Uninfected,SFB_Uninfected_4,"0,08","26,01",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_4,3,"7,156","-12,2","180,8","48,5","58,4","3,09","151,26"
GF_MNV,GF_MNV_Mouse_8,3,"8,012",GF_MNV,GF_MNV_Mouse_8,3,"-11,5",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_5,"157,8","56,3","71,4",SFB_Uninfected,SFB_Uninfected_5,"0,43","28,4",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_5,3,"6,964","-17,6","157,8","56,3","71,4","2,92","120,52"
GF_MNV,GF_MNV_Mouse_8,5,"6,914",GF_MNV,GF_MNV_Mouse_8,5,"-10,8",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_6,"126,6","70,4","44,8",SFB_Uninfected,SFB_Uninfected_6,"0,23","24,09",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_6,3,"7,206","-16,3","126,6","70,4","44,8","3,48","163,9"
GF_MNV,GF_MNV_Mouse_8,7,"3,808",GF_MNV,GF_MNV_Mouse_8,7,"-8,5",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_7,"162,6","85,9",43,SFB_Uninfected,SFB_Uninfected_7,"0,23","25,4",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_7,3,"7,575","-11,9","162,6","85,9",43,"3,44","160,59"
GF_MNV,GF_MNV_Mouse_8,10,"3,261",GF_MNV,GF_MNV_Mouse_8,10,"-0,9",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_8,"117,6","59,5","38,8",SFB_Uninfected,SFB_Uninfected_8,"0,36","31,41",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_8,3,"6,616",-10,"117,6","59,5","38,8","3,12","175,1"
GF_MNV,GF_MNV_Mouse_9,0,0,GF_MNV,GF_MNV_Mouse_9,0,0,Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_9,"122,5","68,2","49,4",SFB_Uninfected,SFB_Uninfected_9,"0,28","28,07",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_9,3,"7,248","-14,8","122,5","68,2","49,4","3,42","139,8"
GF_MNV,GF_MNV_Mouse_9,1,"5,948",GF_MNV,GF_MNV_Mouse_9,1,"-5,1",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_10,"147,7","70,8",49,SFB_Uninfected,SFB_Uninfected_10,"0,32","22,68",Ctrl_Bacteria_MNV,Ctrl_Bacteria_MNV_Mouse_10,3,"8,232",-9,"147,7","70,8",49,"3,09","145,08"
